FEN_from,FEN_to,count
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4P3/PP2QPPP/RNB1K1NR w KQkq -,rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP2QPPP/RNB1K2R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq -,rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/2N1PN2/PP3PPP/R1BQK2R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2p5/2B5/1P2PN2/P2P1PPP/RNBQK2R w KQkq -,rnbqkb1r/pp3ppp/4pn2/2p5/2B5/1P2PN2/PB1P1PPP/RN1QK2R b KQkq -,1
rnbqkb1r/pp3ppp/3p1n2/2pPp3/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,rnbqkb1r/1p3ppp/p2p1n2/2pPp3/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq -,1
rnbqkb1r/pp3ppp/3p1n2/2pP4/8/6P1/PP2PP1P/RNBQKBNR w KQkq -,rnbqkb1r/pp3ppp/3p1n2/2pP4/8/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,1
rnbqkb1r/pp3ppp/3p1n2/2pP4/2P5/8/PP3PPP/RNBQKBNR w KQkq -,rnbqkb1r/pp3ppp/3p1n2/2pP4/2P5/2N5/PP3PPP/R1BQKBNR b KQkq -,1
rnbqkb1r/pp3ppp/3Pp3/2pn4/8/2P2N2/PP1P1PPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/3Pp3/2pn4/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/2pp4/8/2P1n3/5N2/PP1P1PPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/2pp4/8/2P1n3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4p3/P2PP3/2N5/1PP2PPP/R1BQKBNR w KQkq -,rnbqkb1r/pp3ppp/2pp1n2/4p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R b KQkq -,rn1qkb1r/pp3ppp/2pp1n2/4p3/P2PP1b1/2N2N2/1PP2PPP/R1BQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4p3/4P3/3P1NP1/PPPN1P1P/R1BQKB1R b KQkq -,rnbqkb1r/pp3p1p/2pp1np1/4p3/4P3/3P1NP1/PPPN1P1P/R1BQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4p3/4P3/3P1N2/PPPN1PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/2pp1n2/4p3/4P3/3P1NP1/PPPN1P1P/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4p3/3PPP2/2N5/PPP3PP/R1BQKBNR w KQkq -,rnbqkb1r/pp3ppp/2pp1n2/4P3/4PP2/2N5/PPP3PP/R1BQKBNR b KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4p3/3PP3/2N2P2/PPP3PP/R1BQKBNR w KQkq -,rnbqkb1r/pp3ppp/2pp1n2/4p3/3PP3/2N1BP2/PPP3PP/R2QKBNR b KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4p3/3PP3/2N1BP2/PPP3PP/R2QKBNR b KQkq -,rnbqk2r/pp2bppp/2pp1n2/4p3/3PP3/2N1BP2/PPP3PP/R2QKBNR w KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4p3/2B1PP2/2NP4/PPP3PP/R1BQK1NR b KQkq -,rn1qkb1r/pp3ppp/2pp1n2/4p3/2B1PPb1/2NP4/PPP3PP/R1BQK1NR w KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq -,rnbqkb1r/pp3ppp/2pp1n2/4p3/2B1PP2/2NP4/PPP3PP/R1BQK1NR b KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/4P3/4PP2/2N5/PPP3PP/R1BQKBNR b KQkq -,rnbqkb1r/pp3ppp/2p2n2/4p3/4PP2/2N5/PPP3PP/R1BQKBNR w KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/3Pp3/2P1P3/5P2/PP4PP/RNBQKBNR b KQkq -,rnbqk2r/pp2bppp/2pp1n2/3Pp3/2P1P3/5P2/PP4PP/RNBQKBNR w KQkq -,1
rnbqkb1r/pp3ppp/2pp1n2/3Pp3/2P1P3/5P2/PP4PP/RNBQKBNR b KQkq -,rnb1kb1r/pp3ppp/1qpp1n2/3Pp3/2P1P3/5P2/PP4PP/RNBQKBNR w KQkq -,1
rnbqkb1r/pp3ppp/2p2p2/8/8/5N2/PPPP1PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/2p2p2/8/8/5N2/PPPPBPPP/R1BQK2R b KQkq -,1
rnbqkb1r/pp3ppp/2p2p2/8/8/5N2/PPPP1PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/2p2p2/8/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/2p2n2/4p3/4PP2/2N5/PPP3PP/R1BQKBNR w KQkq -,rnbQkb1r/pp3ppp/2p2n2/4p3/4PP2/2N5/PPP3PP/R1B1KBNR b KQkq -,1
rnbqkb1r/pp3ppp/2p2n2/3p4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/2p2n2/3p4/3P4/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq -,1
rnbqkb1r/pp3ppp/3p1n2/2pPp3/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,rnbqkb1r/pp3p1p/3p1np1/2pPp3/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq -,1
rnbqkb1r/pp3ppp/3p1n2/4p3/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/3p1n2/4p3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/3p1n2/4p3/3NP3/5P2/PPP3PP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/3p1n2/1B2p3/3NP3/5P2/PPP3PP/RNBQK2R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/2P2N2/PPBP1PPP/RNBQK2R b KQkq -,rnbqk2r/pp2bppp/3ppn2/2p5/4P3/2P2N2/PPBP1PPP/RNBQK2R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2Pp2B1/8/5N2/PPP1PPPP/RN1QKB1R w KQkq -,rnbqkb1r/pp3ppp/4pn2/2Pp2B1/4P3/5N2/PPP2PPP/RN1QKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2Pp2B1/4P3/5N2/PPP2PPP/RN1QKB1R b KQkq -,rnbqk2r/pp3ppp/4pn2/2bp2B1/4P3/5N2/PPP2PPP/RN1QKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4p3/2pn4/8/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/4p3/2pn4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4p3/2pn4/3P4/5N2/PPPN1PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/4p3/2pn4/3P4/1N3N2/PPP2PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/8/2PpP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/3ppn2/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/8/2PNP3/8/PP3PPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/3ppn2/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/3ppn2/8/2PN4/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2pP4/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/3pPn2/2p5/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/2PB1N2/PP1P1PPP/RNBQK2R w KQkq -,rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/2P2N2/PPBP1PPP/RNBQK2R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/2P2N2/PP1PBPPP/RNBQK2R w KQkq -,rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/2P2N2/PP1PBPPP/RNBQ1RK1 b kq -,1
rnbqkb1r/pp3ppp/3pPn2/2p5/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq -,rnbqkb1r/pp4pp/3ppn2/2p5/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/2P2N2/PP1PBPPP/RNBQ1RK1 b kq -,rnbqk2r/pp2bppp/3ppn2/2p5/4P3/2P2N2/PP1PBPPP/RNBQ1RK1 w kq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/1P3N2/PBPPQPPP/RN2KB1R b KQkq -,r1bqkb1r/pp3ppp/2nppn2/2p5/4P3/1P3N2/PBPPQPPP/RN2KB1R w KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/1P3N2/PBPP1PPP/RN1QKB1R w KQkq -,rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/1P3N2/PBPPQPPP/RN2KB1R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/1P3N2/PBPP1PPP/RN1QKB1R w KQkq -,rnbqkb1r/pp3ppp/3ppn2/1Bp5/4P3/1P3N2/PBPP1PPP/RN1QK2R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,rnbqkb1r/pp3ppp/3ppn2/8/2PpP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/3ppn2/2p5/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,rnbqkb1r/pp3ppp/3ppn2/2p5/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,1
rnbqkb1r/pp3ppp/3ppn2/2p5/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,rnbqkb1r/1p3ppp/p2ppn2/2p5/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,1
rnbqkb1r/pp3ppp/3ppn2/1Bp5/4P3/1P3N2/PBPP1PPP/RN1QK2R b KQkq -,rn1qkb1r/pp1b1ppp/3ppn2/1Bp5/4P3/1P3N2/PBPP1PPP/RN1QK2R w KQkq -,1
rnbqkb1r/pp4pp/2p1pn2/3p1pB1/2PP4/5N2/PP1NPPPP/R2QKB1R w KQkq -,rnbqkb1r/pp4pp/2p1pn2/3p1pB1/2PP4/4PN2/PP1N1PPP/R2QKB1R b KQkq -,1
rnbqkb1r/pp4pp/2pppn2/5p2/2PP4/6PN/PP2PPBP/RNBQK2R w KQkq -,rnbqkb1r/pp4pp/2pppn2/5p2/2PP4/2N3PN/PP2PPBP/R1BQK2R b KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3p4/2PPnB2/2N5/PP2PPPP/R2QKBNR b KQkq -,rnbqkb1r/ppp1pp1p/6p1/3p4/2PP1B2/2n5/PP2PPPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,rnbqk2r/ppp1ppbp/5np1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq -,rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,rnbqk2r/ppp1ppbp/5np1/3p4/3P1B2/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp1pp1p/5np1/3P4/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP1BPPPP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP1BPPPP/R2QKBNR b KQkq -,rnbqkb1r/ppp1pp1p/5np1/8/2pP4/2N5/PP1BPPPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,rnbqkb1r/ppp1pp1p/5np1/8/2Pp4/5NP1/PP1PPPBP/RNBQK2R w KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,rnbqkb1r/ppp1pp1p/5Bp1/3p4/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq -,rnbqk2r/ppp1ppbp/5np1/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3P4/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq -,rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/5N2/PP2PPPP/RNBQKB1R w KQkq -,1
rnbqkb1r/ppp1pp1p/5Bp1/3p4/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq -,rnbqkb1r/ppp2p1p/5pp1/3p4/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/4BP2/PPP3PP/RN1QKBNR b KQkq -,rnbqkb1r/pp2pp1p/2pp1np1/8/3PP3/4BP2/PPP3PP/RN1QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N2P2/PPP3PP/R1BQKBNR b KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N2P2/PPP3PP/R1BQKBNR b KQkq -,rnbqkb1r/pp2pp1p/2pp1np1/8/3PP3/2N2P2/PPP3PP/R1BQKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR b KQkq -,rnbqkb1r/ppp2p1p/3p1np1/4p3/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq -,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,rnbqkb1r/pp2pp1p/3p1np1/2p5/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq -,rnbqkb1r/ppp1pp1p/3p1np1/8/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,rnbqkb1r/pp2pp1p/2p2np1/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,rnbqkb1r/ppp1pp1p/5np1/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,1
rnbqkb1r/pp4pp/3ppn2/2p5/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -,rnbqkb1r/pp4pp/3ppn2/2p5/2P5/5NP1/PP2PP1P/RNBQKB1R b KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,rnbqkb1r/ppp1pp1p/5np1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,1
rnbqkb1r/ppp1pp1p/6p1/3p4/2PPn2B/2N5/PP2PPPP/R2QKBNR b KQkq -,rnbqkb1r/pp2pp1p/6p1/2pp4/2PPn2B/2N5/PP2PPPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3p4/2PPn2B/2N5/PP2PPPP/R2QKBNR b KQkq -,rnbqk2r/ppp1ppbp/6p1/3p4/2PPn2B/2N5/PP2PPPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3p4/2PP1B2/2n5/PP2PPPP/R2QKBNR w KQkq -,rnbqkb1r/ppp1pp1p/6p1/3p4/2PP1B2/2P5/P3PPPP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3p2B1/2PPn3/2N5/PP2PPPP/R2QKBNR w KQkq -,rnbqkb1r/ppp1pp1p/6p1/3p4/2PPnB2/2N5/PP2PPPP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/Q7/2N2N2/PP1PPPPP/R1B1KB1R b KQkq -,rnbqkb1r/pp2pp1p/2p3p1/3n4/Q7/2N2N2/PP1PPPPP/R1B1KB1R w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/8/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,rnbqkb1r/pp2pp1p/2p3p1/3n4/8/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/8/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -,rnbqkb1r/pp2pp1p/6p1/2pn4/8/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/8/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -,rnbqkb1r/ppp1pp1p/6p1/3n4/8/1QN2N2/PP1PPPPP/R1B1KB1R b KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/8/1QN2N2/PP1PPPPP/R1B1KB1R b KQkq -,rnbqkb1r/ppp1pp1p/1n4p1/8/8/1QN2N2/PP1PPPPP/R1B1KB1R w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/3PP3/5N2/PP3PPP/RNBQKB1R b KQkq -,rnbqkb1r/ppp1pp1p/1n4p1/8/3PP3/5N2/PP3PPP/RNBQKB1R w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/8/PPP1BPPP/RNBQK1NR w KQkq -,rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq -,rnbqk2r/ppp1ppbp/6p1/3n4/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/5N2/PP2PPPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp1pp1p/6p1/3n4/3PP3/5N2/PP3PPP/RNBQKB1R b KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq -,rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq -,rnbqkb1r/ppp1pp1p/6p1/3n2B1/3P4/2N5/PP2PPPP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,rnbqk2r/ppp1ppbp/6p1/3n4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/3n2B1/3P4/2N5/PP2PPPP/R2QKBNR b KQkq -,rnbqk2r/ppp1ppbp/6p1/3n2B1/3P4/2N5/PP2PPPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/8/2pP4/2N5/PP1BPPPP/R2QKBNR w KQkq -,rnbqkb1r/ppp1pp1p/5np1/8/2pP4/2N1P3/PP1B1PPP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/8/2pP4/2N1P3/PP1B1PPP/R2QKBNR b KQkq -,rn1qkb1r/ppp1pp1p/4bnp1/8/2pP4/2N1P3/PP1B1PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/8/2Pp4/5NP1/PP1PPPBP/RNBQK2R w KQkq -,rnbqkb1r/ppp1pp1p/5np1/8/2Pp4/3P1NP1/PP2PPBP/RNBQK2R b KQkq -,1
rnbqkb1r/ppp1pp1p/5np1/8/2Pp4/3P1NP1/PP2PPBP/RNBQK2R b KQkq -,rnbqkb1r/1pp1pp1p/5np1/p7/2Pp4/3P1NP1/PP2PPBP/RNBQK2R w KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/8/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,rnbqk2r/ppp1ppbp/3p1np1/8/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq -,rnbqkb1r/ppp1pp2/3p1npp/6B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/3p1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq -,rnbqkb1r/pp2pp1p/2pp1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/1n4p1/8/8/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,rnbqkb1r/ppp1pp1p/1n4p1/8/8/2NP2P1/PP2PPBP/R1BQK1NR b KQkq -,1
rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,rnbqkb1r/ppp3pp/4pn2/3p1p2/3P1B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,1
rnbqkb1r/ppp1p1pp/5B2/3p1p2/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,rnbqkb1r/ppp3pp/5p2/3p1p2/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1p1pp/3p1n2/5p2/8/3P1NP1/PPP1PPBP/RNBQK2R b KQkq -,rnbqkb1r/pp2p1pp/2pp1n2/5p2/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq -,1
rnbqkb1r/ppp1p1pp/3p1n2/5p2/8/3P1NP1/PPP1PP1P/RNBQKB1R w KQkq -,rnbqkb1r/ppp1p1pp/3p1n2/5p2/8/3P1NP1/PPP1PPBP/RNBQK2R b KQkq -,1
rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq -,rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,1
rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq -,rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P4/2N3P1/PPP1PPBP/R1BQK1NR b KQkq -,1
rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P4/2N3P1/PPP1PPBP/R1BQK1NR b KQkq -,rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P4/2N3P1/PPP1PPBP/R1BQK1NR w KQkq -,1
rnbqkb1r/ppp1p1pp/3p1n2/5p2/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,rnbqkb1r/pp2p1pp/2pp1n2/5p2/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,1
rnbqkb1r/ppp1p1pp/3p1n2/5p2/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq -,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,1
rnbqkb1r/ppp1nppp/8/8/3Ppp2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,rnbqkb1r/ppp1nppp/8/8/3PNp2/5N2/PPP3PP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp1nppp/8/3p4/3PPp2/5N2/PPP3PP/RNBQKB1R w KQkq -,rnbqkb1r/ppp1nppp/8/3p4/3PPp2/5N2/PPP1Q1PP/RNB1KB1R b KQkq -,1
rnbqkb1r/ppp1nppp/8/3p4/3PPp2/5N2/PPP3PP/RNBQKB1R w KQkq -,rnbqkb1r/ppp1nppp/8/3p4/3PPp2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp1nppp/8/3p4/3PPp2/5N2/PPP1Q1PP/RNB1KB1R b KQkq -,rnbqkb1r/ppp2ppp/6n1/3p4/3PPp2/5N2/PPP1Q1PP/RNB1KB1R w KQkq -,1
rnbqkb1r/ppp1nppp/8/3p4/3PPp2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,rnbqkb1r/ppp1nppp/8/8/3Ppp2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,1
rnbqkb1r/ppp1nppp/4p3/8/3PP3/5N2/PP3PPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp1nppp/4p3/8/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,1
